"bitter","bittersweet","mild","smoky","rich","sweet","sour","salty","spicy","juicy","fruity","oily","crunchy","dry","wet","creamy","plain","soft","hard","taste"
25,36,84,70,89,74,79,69,30,34,65,76,1,30,51,60,22,49,6,1
19,94,82,95,75,30,12,90,36,56,22,100,25,56,83,9,35,63,93,0
93,44,12,20,40,52,6,22,45,57,38,30,36,6,54,32,51,91,30,1
2,82,11,85,64,99,86,3,73,25,31,14,27,94,46,24,36,3,29,0
91,84,9,97,78,93,40,27,44,19,4,74,34,4,21,48,11,49,89,1
48,19,71,57,31,99,92,19,89,53,39,99,62,100,78,51,60,68,73,1
55,86,16,78,74,10,89,76,56,63,79,55,51,17,53,66,50,72,48,0
79,45,31,27,18,55,83,33,90,63,88,65,9,99,86,3,27,74,66,0
92,80,72,39,28,57,4,79,82,59,42,2,11,82,82,92,5,86,64,1
60,60,76,66,65,49,10,43,81,59,49,78,64,97,68,61,76,42,19,0
57,67,51,4,90,60,56,56,49,73,64,72,45,36,90,6,49,53,45,1
5,40,14,73,43,5,42,40,88,94,55,72,52,50,21,66,96,91,94,0
78,60,50,89,27,5,53,84,61,52,54,11,82,22,2,85,6,57,84,0
98,34,18,51,16,31,66,93,57,79,21,58,83,25,78,7,33,3,58,0
83,60,27,62,19,42,80,45,5,81,41,10,39,81,77,62,57,35,13,1
98,25,79,32,23,17,24,11,55,69,43,47,5,62,68,36,15,94,8,0
35,11,52,77,56,33,71,66,76,70,15,63,18,4,44,15,85,38,36,1
36,35,23,33,93,77,48,63,11,29,31,62,41,42,74,68,47,40,88,0
48,63,5,48,61,3,44,81,47,7,53,36,74,44,20,75,14,88,1,1
64,90,93,35,69,4,44,74,22,30,12,32,97,7,3,10,68,73,5,0
73,87,82,87,68,64,30,87,50,72,24,40,51,82,58,86,30,87,22,1
35,12,83,29,29,5,7,60,91,100,92,55,53,78,8,96,31,97,100,1
72,93,39,44,47,70,95,92,47,37,97,93,69,69,96,89,30,98,24,0
49,98,66,18,46,7,6,57,28,78,62,26,71,4,46,90,44,39,87,0
60,13,48,78,82,30,72,4,81,52,39,63,15,99,45,82,43,36,13,1
35,35,66,42,66,39,21,76,93,82,84,27,88,2,65,29,63,65,79,0
56,58,84,1,2,86,66,87,44,12,24,59,88,70,17,44,49,25,30,0
61,9,47,94,45,55,48,28,29,76,40,32,16,56,87,99,25,3,37,1
60,33,89,54,31,56,67,46,98,67,20,11,88,47,96,5,70,76,86,1
98,72,2,10,22,65,60,54,2,89,76,91,89,96,77,99,86,37,4,0
58,5,36,96,36,3,86,41,37,72,2,35,54,94,69,82,10,63,40,1
82,89,52,62,80,82,62,62,68,14,79,21,33,82,93,25,37,42,78,1
10,68,22,23,92,58,52,93,26,4,20,96,9,44,56,17,34,21,52,1
76,38,92,28,61,83,99,22,11,67,97,89,92,77,27,45,95,45,43,1
68,4,55,99,36,73,75,52,3,40,5,19,49,49,87,60,52,14,51,1
20,77,61,82,47,86,34,40,22,86,13,38,51,37,78,40,93,86,99,0
69,17,18,49,82,73,28,35,7,28,36,10,73,42,53,21,54,51,36,0
17,48,15,18,95,78,37,75,56,52,89,81,93,76,42,50,85,23,38,0
38,5,80,24,14,13,49,89,84,13,87,2,10,12,86,97,16,15,63,1
57,79,29,18,64,21,96,27,85,58,98,18,29,3,20,66,56,98,57,1
21,94,91,68,54,19,30,58,46,28,24,31,67,71,85,34,38,35,18,1
56,93,30,44,70,94,96,96,39,41,95,85,73,12,30,82,48,73,15,0
73,43,75,65,70,96,5,42,70,83,9,96,42,94,85,40,73,23,13,0
34,63,4,16,42,69,7,36,32,2,55,87,21,50,42,25,81,32,50,1
17,34,28,61,28,20,4,98,37,80,73,84,12,48,71,49,17,32,36,1
45,76,52,38,46,67,68,36,63,8,24,44,44,16,78,56,91,19,17,1
73,73,13,74,33,98,31,8,95,66,80,77,86,50,84,67,72,7,75,1
54,91,16,64,90,93,58,55,2,47,92,34,54,63,62,78,93,90,11,1
75,16,3,14,100,21,10,4,9,97,35,52,6,6,65,43,17,55,67,1
81,18,19,18,22,53,26,64,12,68,84,6,80,92,74,65,47,62,39,1
60,61,60,7,13,14,51,92,32,43,12,26,81,76,28,50,87,45,90,0
32,91,52,42,75,75,32,79,78,69,32,100,4,48,8,100,2,22,43,0
46,10,54,90,72,26,7,93,24,33,17,78,44,78,39,34,26,30,1,0
25,100,81,6,53,23,61,82,55,60,35,60,36,83,52,36,68,63,46,1
74,22,78,92,27,53,54,6,16,42,49,84,49,1,42,56,61,1,50,0
45,31,27,49,74,88,70,9,5,39,64,64,17,100,36,79,66,14,27,1
31,93,28,24,34,62,38,100,2,3,85,43,78,79,74,21,60,46,55,1
90,20,74,8,71,3,41,84,41,14,45,57,28,97,89,88,34,13,29,1
67,75,75,14,33,54,40,99,14,11,61,96,65,65,56,22,59,72,71,1
80,51,21,72,7,84,95,43,30,41,94,92,13,93,27,57,81,63,37,0
70,56,90,18,65,52,8,18,93,15,93,13,85,17,2,50,78,90,40,0
26,35,19,81,28,27,65,82,96,90,73,58,78,79,50,53,99,30,82,0
91,19,92,15,99,39,97,18,72,87,19,79,3,60,9,64,40,18,18,1
71,55,4,1,58,67,69,51,37,56,93,40,17,70,17,48,32,61,56,1
38,80,63,64,43,11,56,31,67,89,92,26,35,31,57,59,61,80,51,0
76,50,74,45,47,35,58,43,77,31,43,3,77,46,37,36,59,30,76,1
14,48,46,64,70,20,40,37,5,49,62,50,32,93,96,5,29,15,57,1
92,57,98,77,59,52,76,8,5,57,100,32,47,18,63,60,70,10,4,0
6,85,83,75,83,4,29,92,82,77,62,27,93,99,32,23,1,40,22,1
30,41,99,45,30,88,71,25,20,13,100,87,18,61,66,84,35,63,48,0
8,48,10,35,19,65,70,41,15,34,34,39,47,7,78,8,36,51,25,0
98,95,51,57,88,87,56,53,85,80,64,40,65,2,97,85,36,53,86,1
23,84,100,65,54,76,1,47,71,21,51,94,32,79,80,20,17,40,80,0
72,64,17,77,2,49,11,34,70,81,80,42,13,74,57,27,33,92,94,1
66,96,80,1,78,74,87,27,25,4,83,92,81,6,28,26,83,32,46,0
42,7,85,75,36,81,78,74,86,90,82,13,4,58,96,88,45,89,46,1
100,93,98,58,25,32,91,79,44,24,67,52,22,82,79,90,39,25,54,0
50,56,68,1,87,22,53,51,89,86,30,3,2,98,37,25,27,63,59,1
43,18,26,4,40,40,73,10,7,71,21,14,74,31,35,37,64,39,87,1
49,92,14,21,80,69,92,22,47,70,70,99,53,19,68,95,43,92,74,1
67,26,16,82,77,71,14,18,95,56,57,58,90,42,78,20,65,99,21,0
50,62,53,11,94,94,10,7,39,67,24,7,59,40,90,73,66,29,48,1
29,25,94,17,66,1,16,94,88,10,100,21,57,58,8,62,56,84,43,1
87,82,61,40,89,54,70,28,74,8,41,53,8,15,44,8,36,40,83,1
91,14,93,31,11,8,99,67,66,96,83,82,4,80,57,74,91,59,33,1
76,3,47,2,35,25,79,59,54,86,84,3,29,54,8,23,39,3,71,1
23,76,1,88,9,88,77,21,23,54,51,44,90,49,22,43,27,22,39,0
60,21,11,53,34,93,86,4,67,49,28,55,21,17,14,99,66,94,30,0
